epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,683.671,1.97335,1.7928,2.18153,0.90704,0.88704,0.9133,0.45201,1.75667,0.81754,1.92269,0.000666205,0.000666205,0.000666205
2,1372.81,0.94351,0.56506,1.1697,0.96468,0.93107,0.97023,0.5362,1.62275,0.69066,1.7004,0.00120092,0.00120092,0.00120092
3,3442.23,0.83999,0.47249,1.05223,0.95035,0.95305,0.97973,0.57766,1.43464,0.57815,1.5256,0.00160363,0.00160363,0.00160363
4,4114.59,0.76944,0.43399,0.99799,0.96149,0.94605,0.97356,0.54899,1.63491,0.58359,1.6661,0.001406,0.001406,0.001406
5,4774.37,0.73295,0.39527,0.9727,0.9727,0.95704,0.98776,0.60116,1.51483,0.53073,1.5344,0.001208,0.001208,0.001208
6,5415.04,0.70606,0.37319,0.95572,0.97693,0.9729,0.98826,0.63653,1.38023,0.48992,1.48281,0.00101,0.00101,0.00101
7,6051.36,0.68711,0.35599,0.93762,0.97675,0.96545,0.98836,0.59052,1.5148,0.53628,1.54631,0.000812,0.000812,0.000812
8,6952.33,0.66477,0.34041,0.92772,0.98409,0.97403,0.99064,0.62643,1.43836,0.49421,1.51617,0.000614,0.000614,0.000614
9,7603.53,0.64275,0.32285,0.91449,0.98162,0.97702,0.99277,0.64262,1.38018,0.47551,1.4564,0.000416,0.000416,0.000416
10,8236.91,0.61901,0.30612,0.90479,0.97243,0.98668,0.9915,0.61492,1.47187,0.48691,1.51026,0.000218,0.000218,0.000218
