epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1275.46,2.14268,1.99223,2.35365,0.9606,0.92552,0.96934,0.50874,1.68686,0.87988,1.95788,0.000665743,0.000665743,0.000665743
2,1929.82,0.95236,0.57062,1.21405,0.95782,0.93002,0.9698,0.54413,1.52045,0.69319,1.63485,0.0012005,0.0012005,0.0012005
3,2573.35,0.84256,0.47647,1.06876,0.97922,0.97602,0.99264,0.62077,1.39123,0.55364,1.51073,0.00160326,0.00160326,0.00160326
4,3229.1,0.77361,0.43193,1.01017,0.7949,0.8012,0.78903,0.46452,1.44576,0.93671,1.51072,0.001406,0.001406,0.001406
5,7662.17,0.72598,0.39316,0.97255,0.96947,0.97502,0.99124,0.59462,1.52345,0.57278,1.59274,0.001208,0.001208,0.001208
6,8525.61,0.69928,0.37147,0.954,0.97559,0.97802,0.9926,0.59072,1.51796,0.5289,1.5255,0.00101,0.00101,0.00101
7,9192.81,0.68713,0.35547,0.93615,0.98481,0.9714,0.99237,0.60483,1.56629,0.5675,1.56795,0.000812,0.000812,0.000812
8,9834.42,0.6565,0.33614,0.92542,0.97699,0.97565,0.99247,0.61958,1.41982,0.49845,1.4751,0.000614,0.000614,0.000614
9,10455.3,0.64588,0.32153,0.9174,0.98402,0.98102,0.9932,0.63485,1.40052,0.49401,1.45244,0.000416,0.000416,0.000416
10,11078.5,0.6171,0.30469,0.90508,0.98704,0.9892,0.99436,0.61395,1.49792,0.49779,1.50177,0.000218,0.000218,0.000218
