epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.834,1.90745,2.24502,2.45513,0.95941,0.92082,0.94804,0.50512,1.72539,0.85074,2.55406,0.000665743,0.000665743,0.000665743
2,1053.95,0.90578,0.57393,1.36751,0.98352,0.96104,0.98286,0.56988,1.56769,0.69675,2.22328,0.0012005,0.0012005,0.0012005
3,1387.48,0.79852,0.47344,1.19317,0.96477,0.95904,0.97987,0.55188,1.51294,0.64201,2.06482,0.00160326,0.00160326,0.00160326
4,1697.33,0.74439,0.42152,1.12363,0.98649,0.94829,0.9831,0.57138,1.52049,0.58089,2.01771,0.001406,0.001406,0.001406
5,1996.67,0.69889,0.38847,1.08042,0.98887,0.96803,0.98675,0.57077,1.53215,0.55852,2.02831,0.001208,0.001208,0.001208
6,2280.4,0.67559,0.36445,1.05074,0.99078,0.97303,0.99172,0.58332,1.50719,0.54824,1.96575,0.00101,0.00101,0.00101
7,2562.53,0.65119,0.34465,1.01906,0.98181,0.97052,0.98703,0.54367,1.65925,0.58132,2.2162,0.000812,0.000812,0.000812
8,2836.64,0.63051,0.32347,1.00359,0.98985,0.97391,0.99332,0.63522,1.40328,0.48797,1.85759,0.000614,0.000614,0.000614
9,3111.41,0.61685,0.31074,0.99416,0.99132,0.97403,0.99199,0.63154,1.40422,0.49514,1.85728,0.000416,0.000416,0.000416
10,3381.66,0.59451,0.28935,0.97423,0.98774,0.98302,0.99362,0.64057,1.42404,0.47401,1.86668,0.000218,0.000218,0.000218
